3400,SK
3800,SK
4100,SK
4300,SJ
4700,SS
5000,SD
5200,SF
5400,SS
5500,SS
5600,SS
5800,SJ
6000,SK
6200,SJ
6600,SJ
6900,SJ
7100,SK
7500,SS
7800,SD
8000,SF
8200,SS
8300,SS
8400,SJ
8500,SK
8700,SJ
8900,SF
9300,SF
9600,SF
9800,SD
10200,SF
10500,SS
10700,SS
10900,SS
11000,SK
11100,SJ
11200,SS
11400,SF
11600,SK
14600,SJ
17300,SF
20000,SF
22600,SD
25500,SJ
28200,SK
31100,SJ
33600,SD
36400,SJ
40800,SJ
41200,SS
41500,SD
41800,SF
42400,SK
42900,SK
43200,SS
43600,SK
43900,SJ
44300,SD
44600,SF
46200,SJ
46600,SS
46900,SS
47300,SD
48000,SJ
48300,SK
48500,SS
48800,SS
49100,SS
49400,SD
49800,SF
50100,SF
50700,SD
51100,SJ
51300,SF
51800,SF
52100,SD
52500,SD
52800,SD
53000,SJ
53400,SK
53700,SS
53900,SJ
54000,SF
54200,SF
54400,SD
54800,SF
55100,S
55200,SJ
55300,SK
55600,SK
56300,SJ
56800,SF
57100,SF
57400,SS
57600,SD
59600,SK
60000,SF
60300,SS
60500,SJ
60800,SK
61100,SD
61200,SJ
61600,SK
61900,SK
62100,SS
62300,SF
62400,SJ
62700,SS
63100,SS
63300,SJ
63600,SD
63800,SK
64000,SJ
64300,SJ
64600,SF
64800,SD
65200,SF
65500,SD
65800,SS
66000,SS
66300,SS
66500,SK
66700,SJ
67100,SF
67400,SD
67600,SS
67700,SS
67900,SD
68200,SF
68600,SJ
68900,SK
69300,SS
69500,SF
69800,SF
70100,SD
70300,SF
70400,SD
70600,SJ
71000,SK
71300,SS
71500,SS
71800,SF
72000,SF
72200,SJ
72500,SS
72800,SF
73000,SD
73100,SD
73200,SD
73400,SJ
73700,SK
74000,SJ
74200,SS
74600,SS
74800,SF
75000,SD
75300,SK
75800,SJ
75900,SD
76100,SS
76400,SJ
76700,SJ
77100,SF
77300,SS
77500,SD
77800,SK
78000,SF
78400,SF
78500,SS
78700,SK
78900,SJ
79400,SF
80000,SS
80200,SD
80900,SD
81600,SJ
82000,SD
82300,SF
82500,SK
82900,SJ
83200,SJ
83400,SD
83600,SF
83700,SS
83900,SS
84100,SJ
84400,SK
84800,SK
85100,SK
85300,SJ
85700,SS
86000,SD
86200,SF
86400,SF
86500,SS
86600,SJ
86700,SK
86900,SJ
87200,SS
87600,SS
87900,SS
88100,SF
88500,SD
88800,SK
89000,SJ
89200,SS
89300,SS
89400,SF
89500,SF
89700,SD
90000,SS
90400,SS
90700,SS
90900,SJ
91300,SK
91600,SF
91800,SS
92000,SJ
92100,SJ
92200,SK
92300,SJ
92500,SK
92800,SK
93200,SK
93500,SJ
93700,SS
94100,SD
94400,SF
94600,SD
94800,SS
94900,SS
95000,SJ
95100,SK
95200,SF
95400,SF
95600,SF
96000,SD
96300,SD
96500,SJ
96900,SK
97200,SJ
97400,SS
97600,SS
97700,SF
97800,SF
97900,SK
98100,SK
98400,SJ
98800,SS
99100,SD
99300,SF
99700,SD
100000,SF
100200,SS
100400,SS
100500,SJ
100600,SK
100700,SJ
100900,SD
101200,SD
101600,SD
101900,SF
102100,SS
102500,SD
102800,SF
103000,SS
103200,SJ
103300,SJ
103400,SK
103500,SK
103700,SJ
104000,lS
106000,LS
